gateway_name,symbol,exchange,orderid,tradeid,direction,offset,price,volume,time,datetime,pnl,net_npl,commission,slippage,interval
BACKTESTING,XBTUSD,BITMEX,39,39,多,开,9006.0,149.2537313432836,01:33:00,2019-06-16 01:33:00,0,0,268.83582089552243,74.6268656716418,1m
BACKTESTING,XBTUSD,BITMEX,40,40,空,平,9296.5,597.0149253731344,05:52:00,2019-06-16 05:52:00,243432.83582089553,240664.44776119402,1110.0298507462687,298.5074626865672,1m
BACKTESTING,XBTUSD,BITMEX,41,41,多,开,9297.5,131.57894736842104,05:53:00,2019-06-16 05:53:00,0,0,244.67105263157893,65.78947368421052,1m
BACKTESTING,XBTUSD,BITMEX,42,42,多,开,9297.5,131.57894736842104,05:53:00,2019-06-16 05:53:00,0,0,244.67105263157893,65.78947368421052,1m
BACKTESTING,XBTUSD,BITMEX,43,43,多,开,9297.5,131.57894736842104,05:53:00,2019-06-16 05:53:00,0,0,244.67105263157893,65.78947368421052,1m
BACKTESTING,XBTUSD,BITMEX,44,44,多,开,9297.5,131.57894736842104,05:53:00,2019-06-16 05:53:00,0,0,244.67105263157893,65.78947368421052,1m
BACKTESTING,XBTUSD,BITMEX,45,45,空,平,9145.5,526.3157894736842,08:46:00,2019-06-16 08:46:00,-80000.0,-82467.6842105263,962.6842105263157,263.1578947368421,1m
BACKTESTING,XBTUSD,BITMEX,46,46,多,开,9312.5,86.89984792526613,11:02:00,2019-06-17 11:02:00,0,0,161.85096676080818,43.449923962633065,1m
BACKTESTING,XBTUSD,BITMEX,47,47,多,开,9370.0,86.89984792526613,12:07:00,2019-06-17 12:07:00,0,0,162.85031501194874,43.449923962633065,1m
BACKTESTING,XBTUSD,BITMEX,48,48,空,平,9140.0,173.79969585053226,15:46:00,2019-06-17 15:46:00,-34977.1887899193,-35793.39561155737,317.705844014773,86.89984792526613,1m
BACKTESTING,XBTUSD,BITMEX,49,49,多,开,9439.0,83.9278220730172,23:13:00,2019-06-17 23:13:00,0,0,158.4389425094419,41.9639110365086,1m
BACKTESTING,XBTUSD,BITMEX,50,50,空,平,9200.5,83.9278220730172,05:26:00,2019-06-18 05:26:00,-20016.7855644146,-20413.587914393618,154.43558539655896,41.9639110365086,1m
BACKTESTING,XBTUSD,BITMEX,51,51,空,开,9077.5,80.01600320064013,07:23:00,2019-06-18 07:23:00,0,0,145.26905381076216,40.008001600320064,1m
BACKTESTING,XBTUSD,BITMEX,52,52,空,开,9015.0,80.01600320064013,15:23:00,2019-06-18 15:23:00,0,0,144.26885377075416,40.008001600320064,1m
BACKTESTING,XBTUSD,BITMEX,53,53,多,平,9169.5,160.03200640128026,01:00:00,2019-06-19 01:00:00,-19723.944788957793,-20466.9973994799,293.4826965393079,80.01600320064013,1m
BACKTESTING,XBTUSD,BITMEX,54,54,多,开,9218.0,174.06440382941688,21:57:00,2019-06-19 21:57:00,0,0,320.905134899913,87.03220191470844,1m
BACKTESTING,XBTUSD,BITMEX,55,55,多,开,9246.5,174.06440382941688,21:59:00,2019-06-19 21:59:00,0,0,321.8973020017407,87.03220191470844,1m
BACKTESTING,XBTUSD,BITMEX,56,56,多,开,9304.0,174.06440382941688,23:16:00,2019-06-19 23:16:00,0,0,323.89904264577893,87.03220191470844,1m
BACKTESTING,XBTUSD,BITMEX,57,57,空,平,9238.0,522.1932114882507,08:32:00,2019-06-20 08:32:00,-9486.510008702904,-11940.20887728428,964.8041775456919,261.0966057441253,1m
BACKTESTING,XBTUSD,BITMEX,58,58,多,开,9374.5,195.40791402051784,14:51:00,2019-06-20 14:51:00,0,0,366.3702979970689,97.70395701025892,1m
BACKTESTING,XBTUSD,BITMEX,59,59,多,开,9400.0,195.40791402051784,15:54:00,2019-06-20 15:54:00,0,0,367.36687835857356,97.70395701025892,1m
BACKTESTING,XBTUSD,BITMEX,60,60,多,开,9451.0,195.40791402051784,16:06:00,2019-06-20 16:06:00,0,0,369.36003908158284,97.70395701025892,1m
BACKTESTING,XBTUSD,BITMEX,61,61,空,平,9348.5,586.2237420615535,16:51:00,2019-06-20 16:51:00,-35173.42452369321,-37958.80801172448,1096.0625305324866,293.11187103077674,1m
BACKTESTING,XBTUSD,BITMEX,62,62,多,开,9451.0,173.01038062283737,18:48:00,2019-06-20 18:48:00,0,0,327.0242214532872,86.50519031141869,1m
BACKTESTING,XBTUSD,BITMEX,63,63,多,开,9480.0,173.01038062283737,19:57:00,2019-06-20 19:57:00,0,0,328.0276816608997,86.50519031141869,1m
BACKTESTING,XBTUSD,BITMEX,64,64,多,开,9538.0,173.01038062283737,20:00:00,2019-06-20 20:00:00,0,0,330.0346020761246,86.50519031141869,1m
BACKTESTING,XBTUSD,BITMEX,65,65,多,开,9624.5,173.01038062283737,01:02:00,2019-06-21 01:02:00,0,0,333.0276816608997,86.50519031141869,1m
